route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
224,Weekday,2399__201076_Timetable_-_2025-02,Ajax Station,1,201076_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
407,Weekday,239__401030_Timetable_-_2025-02,A - Raleigh,1,401030_Timetable_-_2025-02,100.0.1046829532_Timetable_-_2025-02,Southbound,1
917,SatSun,2401__261007_Timetable_-_2025-02,Oshawa Centre Terminal,0,261007_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
411,SatSun,2403__461018_Timetable_-_2025-02,Courtice,0,461018_Timetable_-_2025-02,100.0.1952650522_Timetable_-_2025-02,Eastbound,1
917,Weekday,2404__201049_Timetable_-_2025-02,Oshawa Centre Terminal,0,201049_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
216,SatSun,2406__261003_Timetable_-_2025-02,Ajax Station,1,261003_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
224,Weekday,2407__201017_Timetable_-_2025-02,Ajax Station,1,201017_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,Weekday,2408__201052_Timetable_-_2025-02,Oshawa Centre Terminal,0,201052_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
917,SatSunReg,2409__261001_Timetable_-_2025-02,Oshawa Centre Terminal,0,261001_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
407,Weekday,240__401017_Timetable_-_2025-02,Raleigh,1,401017_Timetable_-_2025-02,100.0.1952647814_Timetable_-_2025-02,Southbound,1
224,SatSun,2411__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
916,SatSun,2414__261020_Timetable_-_2025-02,Conlin,0,261020_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
224,SatSun,2415__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
502,SatSun,2416__461019_Timetable_-_2025-02,Clarington Boulevard,1,461019_Timetable_-_2025-02,100.0.1952652001_Timetable_-_2025-02,Westbound,1
224,SatSunReg,2417__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
411,SatSun,2418__461006_Timetable_-_2025-02,Courtice,0,461006_Timetable_-_2025-02,100.0.1952650522_Timetable_-_2025-02,Eastbound,1
411,SatSun,2419__461013_Timetable_-_2025-02,Oshawa Centre Terminal,1,461013_Timetable_-_2025-02,100.0.1952650521_Timetable_-_2025-02,Westbound,1
407,Weekday,241__401030_Timetable_-_2025-02,Harmony,0,401030_Timetable_-_2025-02,100.0.1952647813_Timetable_-_2025-02,Northbound,1
224,SatSunReg,2420__261004_Timetable_-_2025-02,Ajax Station,1,261004_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
